elementCount,run,className,dataType,archetype,supportsStagedMutability,footprintInBytes,footprintInObjects,footprintInReferences
1,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,104,3,4
1,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,112,3,5
1,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,176,4,9
1,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,136,3,7
1,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,32,1,1
1,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,80,2,5
1,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,104,3,4
1,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,112,3,5
1,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,176,4,9
1,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,136,3,7
1,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,32,1,1
1,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,80,2,5
1,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,104,3,4
1,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,112,3,5
1,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,176,4,9
1,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,136,3,7
1,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,32,1,1
1,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,80,2,5
1,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,104,3,4
1,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,112,3,5
1,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,176,4,9
1,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,136,3,7
1,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,32,1,1
1,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,80,2,5
2,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,112,3,5
2,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,128,3,7
